STATE,ZONE,STATION_CALL_ID
AL,'Butler',KPRN 
AL,'Calhoun',KANB 
AL,'Colbert',KMSL 
AL,'Cullman',K3A1 
AL,'Dale',KHEY 
AL,'Dale',KLOR 
AL,'DeKalb',K4A9 
AL,'Etowah',KGAD 
AL,'Jefferson',KBHM 
AL,'Lee',KAUO 
AL,'Limestone',KDCU 
AL,'Madison',KHSV 
AL,'Madison',KHUA 
AL,'Madison',KMDQ 
AL,'Marshall',K8A0 
AL,'Montgomery',KMGM 
AL,'Montgomery',KMXF 
AL,'Pike',KTOI 
AL,'Shelby',KEET 
AL,'Tallapoosa',KALX 
AL,'Tuscaloosa',KTCL 
AL,'Winston',K1M4 
AR,'Baxter',KBPK 
AR,'Benton',KROG 
AR,'Benton',KSLG 
AR,'Benton',KVBT 
AR,'Benton',KXNA 
AR,'Boone County Except Southwest',KHRO 
AR,'Central and Eastern Montgomery County',KMWT 
AR,'Clay',K4M9 
AR,'Craighead',KJBR 
AR,'Crittenden',KAWM 
AR,'Drew',KLLQ 
AR,'Garland',KHOT 
AR,'Independence',KBVX 
AR,'Jackson',KM19 
AR,'Jefferson',KPBF 
AR,'Lawrence',KARG 
AR,'Marion',KFLP 
AR,'Miller',KTXK 
AR,'Mississippi',KBYH 
AR,'Mississippi',KHKA 
AR,'Ouachita',KCDH 
AR,'Polk County Lower Elevations',KMEZ 
AR,'Prairie',KSGT 
AR,'Pulaski',KLIT 
AR,'Pulaski',KLRF 
AR,'Sebastian',KFSM 
AR,'Sevier',KDEQ 
AR,'Southeast Van Buren County',KCCA 
AR,'Southern Pope County',KRUE 
AR,'Union',KELD 
AR,'Washington',KASG 
AR,'Washington',KFYV 
AR,'White',KSRC 
AZ,'Chuska Mountains and Defiance Plateau',KRQE 
AZ,'Eastern Cochise County Below 5000 Feet including Douglas/Willcox',KDUG 
AZ,'Grand Canyon Country',KGCN 
AZ,'Little Colorado River Valley in Apache County',KSJN 
AZ,'Little Colorado River Valley in Navajo County',KINW 
AZ,'Marble and Glen Canyons',KPGA 
AZ,'Northwest Deserts',KIGM 
AZ,'Oak Creek and Sycamore Canyons',KSEZ 
AZ,'Tucson Metro Area including Tucson/Green Valley/Marana/Vail',KDMA 
AZ,'Tucson Metro Area including Tucson/Green Valley/Marana/Vail',KRYN 
AZ,'Tucson Metro Area including Tucson/Green Valley/Marana/Vail',KTUS 
AZ,'Upper Gila River and Aravaipa Valleys including Clifton/Safford',KSAD 
AZ,'Upper San Pedro River Valley including Sierra Vista/Benson',KALK 
AZ,'Upper San Pedro River Valley including Sierra Vista/Benson',KFHU 
AZ,'Western Mogollon Rim',KCMR 
