year,begin_time,end_time,episode_id,event_id,state_text,zone,event_type,short_ugcs
2009,2009-12-23 12:00:00 UTC,2009-12-26 06:00 UTC,35843,207860,SD,"SANBORN",Blizzard,SD-C111|SD-Z053
2009,2009-12-23 10:00:00 UTC,2009-12-26 06:00 UTC,35843,207869,SD,"GREGORY",Blizzard,SD-C053|SD-Z050
2009,2009-12-23 10:00:00 UTC,2009-12-26 06:00 UTC,35843,207870,SD,"CHARLES MIX",Blizzard,SD-C023|SD-Z063
2009,2009-12-23 07:00:00 UTC,2009-12-26 06:00 UTC,35843,207929,SD,"LINCOLN",Blizzard,SD-C083|SD-Z067
2009,2009-12-23 09:00:00 UTC,2009-12-26 06:00 UTC,35843,207934,SD,"YANKTON",Blizzard,SD-C135|SD-Z069
2009,2009-12-23 08:00:00 UTC,2009-12-26 06:00 UTC,35951,208143,NE,"DIXON",Blizzard,NE-C051|NE-Z013
2009,2009-12-23 10:00:00 UTC,2009-12-26 06:00 UTC,35843,207871,SD,"DOUGLAS",Blizzard,SD-C043|SD-Z064
2009,2009-12-23 10:00:00 UTC,2009-12-26 06:00 UTC,35843,207872,SD,"KINGSBURY",Blizzard,SD-C077|SD-Z039
2009,2009-12-23 09:00:00 UTC,2009-12-26 06:00 UTC,35843,207873,SD,"BROOKINGS",Blizzard,SD-C011|SD-Z040
2009,2009-12-23 08:00:00 UTC,2009-12-26 06:00 UTC,35951,208144,NE,"DAKOTA",Blizzard,NE-C043|NE-Z014
2009,2009-12-23 09:00:00 UTC,2009-12-26 06:00 UTC,35843,207875,SD,"LAKE",Blizzard,SD-C079|SD-Z055
2009,2009-12-23 10:00:00 UTC,2009-12-26 06:00 UTC,35843,207874,SD,"MINER",Blizzard,SD-C097|SD-Z054
2009,2009-12-23 09:00:00 UTC,2009-12-26 06:00 UTC,35843,207876,SD,"MOODY",Blizzard,SD-C101|SD-Z056
2009,2009-12-23 12:00:00 UTC,2009-12-26 06:00 UTC,35843,207859,SD,"JERAULD",Blizzard,SD-C073|SD-Z052
2009,2009-12-23 10:00:00 UTC,2009-12-26 06:00 UTC,35843,207865,SD,"BRULE",Blizzard,SD-C015|SD-Z057
2009,2009-12-23 09:00:00 UTC,2009-12-26 06:00 UTC,35843,207924,SD,"HANSON",Blizzard,SD-C061|SD-Z060
2009,2009-12-23 08:00:00 UTC,2009-12-26 06:00 UTC,35843,207925,SD,"MCCOOK",Blizzard,SD-C087|SD-Z061
2009,2009-12-23 09:00:00 UTC,2009-12-26 06:00 UTC,35843,207927,SD,"HUTCHINSON",Blizzard,SD-C067|SD-Z065
2009,2009-12-23 10:00:00 UTC,2009-12-26 06:00 UTC,35843,207867,SD,"AURORA",Blizzard,SD-C003|SD-Z058
2009,2009-12-07 21:00:00 UTC,2009-12-09 06:00 UTC,35389,204527,NE,"DAKOTA",Blizzard,NE-C043|NE-Z014
2009,2009-12-07 21:00:00 UTC,2009-12-09 06:00 UTC,35389,204528,NE,"DIXON",Blizzard,NE-C051|NE-Z013
2009,2009-12-23 10:00:00 UTC,2009-12-26 06:00 UTC,35843,207868,SD,"DAVISON",Blizzard,SD-C035|SD-Z059
2009,2009-11-29 03:00:00 UTC,2009-11-30 16:59 UTC,34448,199102,NM,"EASTERN LINCOLN COUNTY",Blizzard,NM-Z539
2009,2009-11-29 03:00:00 UTC,2009-11-30 16:59 UTC,34448,199103,NM,"SOUTHWEST CHAVES COUNTY",Blizzard,NM-Z540
2009,2009-12-07 16:00:00 UTC,2009-12-09 03:00 UTC,35235,205244,KS,"LEAVENWORTH",Blizzard,KS-C103|KS-Z103
2009,2009-12-07 16:00:00 UTC,2009-12-09 03:00 UTC,35235,205242,KS,"DONIPHAN",Blizzard,KS-C043|KS-Z102
2009,2009-12-07 16:00:00 UTC,2009-12-09 03:00 UTC,35235,205243,KS,"ATCHISON",Blizzard,KS-C005|KS-Z025
2009,2009-01-12 06:00:00 UTC,2009-01-12 15:00 UTC,25673,149892,SD,"MOODY",Blizzard,SD-C101|SD-Z056
2009,2009-01-12 08:00:00 UTC,2009-01-12 15:00 UTC,25673,149894,SD,"CLAY",Blizzard,SD-C027|SD-Z070
